"Ano","Regiao","Sub_Regiao","Pais","Mes","GeoCodUnidMaior","UnidMaior","GeoCodUnidMenor","UnidMenor","Especie","Categoria","TotalCasos","TotalNaoConfirmados","CASO_VARIANTE","CASO_FILOGEN","CASO_CERTIFICACAO","CASO_DATA_CERTIFIC","CASO_LAB","matchcode"
1999,"América Latina","México","Mexico",11,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",15,"0","NULL","NULL","P","2000-02-01 00:00:00.000","15",NA
1999,"América Latina","México","Mexico",12,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",23,"0","NULL","NULL","P","2000-02-01 00:00:00.000","23",NA
2000,"América Latina","México","Mexico",1,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",15,"0","NULL","NULL","P","2001-04-18 00:00:00.000","15",NA
2000,"América Latina","México","Mexico",2,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",24,"0","NULL","NULL","P","2001-04-18 00:00:00.000","24",NA
2000,"América Latina","México","Mexico",3,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",36,"0","NULL","NULL","P","2001-04-18 00:00:00.000","36",NA
2000,"América Latina","México","Mexico",4,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",30,"0","NULL","NULL","P","2001-04-18 00:00:00.000","30",NA
2000,"América Latina","México","Mexico",5,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",33,"0","NULL","NULL","P","2001-04-18 00:00:00.000","33",NA
2000,"América Latina","México","Mexico",6,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",16,"0","NULL","NULL","P","2001-04-18 00:00:00.000","16",NA
2000,"América Latina","México","Mexico",7,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",10,"0","NULL","NULL","P","2001-04-18 00:00:00.000","10",NA
2000,"América Latina","México","Mexico",8,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",21,"0","NULL","NULL","P","2001-04-18 00:00:00.000","21",NA
2000,"América Latina","México","Mexico",9,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",17,"0","NULL","NULL","P","2001-04-18 00:00:00.000","17",NA
2000,"América Latina","México","Mexico",10,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",18,"0","NULL","NULL","P","2001-04-18 00:00:00.000","18",NA
2000,"América Latina","México","Mexico",11,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",13,"0","NULL","NULL","P","2001-04-18 00:00:00.000","13",NA
2000,"América Latina","México","Mexico",12,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",11,"0","NULL","NULL","P","2001-04-18 00:00:00.000","11",NA
2001,"América Latina","México","Mexico",1,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",17,"0","NULL","NULL","P","2001-06-19 00:00:00.000","17",NA
2001,"América Latina","México","Mexico",2,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",7,"0","NULL","NULL","P","2001-06-19 00:00:00.000","7",NA
2001,"América Latina","México","Mexico",3,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",13,"0","NULL","NULL","P","2001-06-19 00:00:00.000","13",NA
2001,"América Latina","México","Mexico",4,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",9,"0","NULL","NULL","P","2001-10-15 00:00:00.000","9",NA
2001,"América Latina","México","Mexico",5,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",12,"0","NULL","NULL","P","2001-10-15 00:00:00.000","12",NA
2001,"América Latina","México","Mexico",6,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",7,"0","NULL","NULL","P","2001-10-15 00:00:00.000","7",NA
2001,"América Latina","México","Mexico",7,"...","Sin Informacion","...","Sin Informacion","Perros","Perros",4,"0","NULL","NULL","P","2001-10-15 00:00:00.000","4",NA
